type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,press.started,text_stroop.started,sound_1.started,dot.started,text_stroop.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,stroop.press.rt,stroop.press.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0042635000027075876,0.008259600002929801,0.008259600002929801,6.16559849999976,space,6.140368799999123,None,,,,,,,,,,,,,,,,,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,38,blue,blue,word,m,800,2000,0,0,0,m,1,1.0191681000032986,None,0,0,0,37,6.270502700001089,,,,,,,,,6.265337700002419,6.270502700001089,6.270502700001089,0.09950679999747081,6.372879400001693,6.372879400001693,7.292180000000371,m,1,1.0191681000032986,None,3.1881538311003563,7.292905000002065,7.30587530000048,10.545085400000971,10.474275200002012,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,8,black,yellow,word,z,800,2000,1,1,0,z,1,0.5468140999983007,None,0,1,1,7,10.545085400000971,,,,,,,,,10.53786989999935,10.545085400000971,10.545085400000971,0.0637516000024334,10.689684500001022,10.689684500001022,11.108964000002743,z,1,0.5468140999983007,None,3.3342466039364593,11.109699799999362,11.12325310000233,14.50598810000156,14.441084400001273,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,23,green,green,word,m,800,2000,2,2,0,m,1,0.5545474999998987,None,0,2,2,22,14.50598810000156,,,,,,,,,14.499259700001858,14.50598810000156,14.50598810000156,0.05811180000091554,14.657185100000788,14.657185100000788,15.075686600001063,m,1,0.5545474999998987,None,4.874210402950544,15.076410600002419,15.090551799999957,20.00609600000098,19.941829700001108,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,26,green,yellow,word,z,800,2000,3,3,0,z,1,0.4882577999997011,None,0,3,3,25,20.00609600000098,,,,,,,,,20.00006779999967,20.00609600000098,20.00609600000098,0.05835089999891352,20.156908400000248,20.156908400000248,20.509496900001977,z,1,0.4882577999997011,None,2.5021966995026808,20.510323000002245,20.524062100001174,23.07287279999946,23.008534800002963,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,4,red,green,word,z,800,2000,4,4,0,z,1,0.4968667000030109,None,0,4,4,3,23.07287279999946,,,,,,,,,23.06778850000046,23.07287279999946,23.07287279999946,0.05935160000080941,23.224551999999676,23.224551999999676,23.576573800000915,z,1,0.4968667000030109,None,4.3365132021014325,23.577475199999753,23.590896800000337,27.96628950000013,27.909265199999936,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,9,red,blue,word,z,800,2000,5,5,0,z,1,0.5267864000015834,None,0,5,5,8,27.96628950000013,,,,,,,,,27.960622200000216,27.96628950000013,27.96628950000013,0.05139259999850765,28.124872300002608,28.124872300002608,28.51010280000264,z,1,0.5267864000015834,None,4.592977030423723,28.510755499999505,28.524994499999593,33.15531420000116,33.093205100001796,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,20,red,green,word,z,800,2000,6,6,0,z,1,0.6540320999993128,None,0,6,6,19,33.15531420000116,,,,,,,,,33.149140100002114,33.15531420000116,33.15531420000116,0.055959199999051634,33.30884340000193,33.30884340000193,33.81183820000297,z,1,0.6540320999993128,None,1.3946234068684462,33.8126099000001,33.82522009999957,35.256543400002556,35.19310310000219,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,17,yellow,green,word,z,800,2000,7,7,0,z,1,0.5219034000001557,None,0,7,7,16,35.256543400002556,,,,,,,,,35.25128330000007,35.256543400002556,35.256543400002556,0.058066199999302626,35.409070800000336,35.409070800000336,35.79402250000203,z,1,0.5219034000001557,None,4.040501278865867,35.79468790000101,35.80893620000279,39.88775340000211,39.82726140000159,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,21,black,yellow,word,z,800,2000,8,8,0,z,1,0.4518607999998494,None,0,8,8,20,39.88775340000211,,,,,,,,,39.88148690000162,39.88775340000211,39.88775340000211,0.05425850000028731,40.042750600001455,40.042750600001455,40.345135700001265,z,1,0.4518607999998494,None,3.252015774032647,40.345919200000935,40.359162200002174,43.62401880000107,43.59417320000284,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
